iter	Passed	Remaining
405	9323	9048
406	9342	9021
407	9362	8995
408	9384	8971
409	9406	8947
410	9428	8923
411	9451	8901
412	9476	8879
413	9495	8852
414	9517	8829
415	9539	8805
416	9558	8779
417	9581	8756
418	9602	8731
419	9627	8710
420	9651	8688
421	9674	8665
422	9697	8643
423	9718	8618
424	9739	8593
425	9762	8570
426	9782	8545
427	9803	8520
428	9827	8499
429	9851	8476
430	9873	8453
431	9898	8432
432	9919	8407
433	9942	8384
434	9963	8359
435	9986	8337
436	10009	8314
437	10030	8289
438	10051	8265
439	10073	8242
440	10095	8218
441	10119	8196
442	10140	8172
443	10162	8148
444	10184	8124
445	10205	8100
446	10221	8072
447	10241	8046
448	10262	8022
449	10285	7999
450	10308	7977
451	10327	7951
452	10348	7927
453	10369	7902
454	10387	7876
455	10408	7852
456	10433	7830
457	10453	7806
458	10475	7782
459	10501	7762
460	10525	7740
461	10548	7716
462	10568	7692
463	10587	7666
464	10605	7640
465	10629	7618
466	10650	7594
467	10671	7570
468	10696	7549
469	10718	7525
470	10741	7503
471	10764	7480
472	10782	7454
473	10803	7430
474	10823	7405
475	10845	7382
476	10867	7359
477	10890	7336
478	10912	7313
479	10933	7288
480	10958	7267
481	10980	7244
482	11001	7220
483	11022	7196
484	11043	7172
485	11065	7149
486	11085	7125
487	11106	7100
488	11129	7078
489	11153	7056
490	11174	7032
491	11196	7009
492	11220	6987
493	11242	6964
494	11262	6939
495	11286	6917
496	11307	6893
497	11330	6870
498	11353	6848
499	11374	6824
500	11401	6804
501	11423	6781
502	11445	6758
503	11465	6733
504	11487	6710
505	11506	6685
506	11529	6663
507	11552	6640
508	11579	6619
509	11600	6596
510	11622	6573
511	11643	6549
512	11663	6525
513	11683	6501
514	11707	6479
515	11730	6456
516	11752	6433
517	11775	6410
518	11797	6387
519	11816	6362
520	11838	6339
521	11859	6316
522	11881	6292
523	11905	6270
524	11928	6248
525	11952	6226
526	11974	6203
527	11997	6180
528	12020	6158
529	12041	6134
530	12062	6110
531	12083	6087
532	12105	6064
533	12128	6041
534	12153	6019
535	12175	5996
536	12200	5975
537	12223	5952
538	12244	5929
539	12267	5906
540	12287	5882
541	12312	5860
542	12334	5837
543	12359	5816
544	12380	5792
545	12405	5771
546	12427	5747
547	12448	5724
548	12468	5700
549	12489	5677
550	12513	5654
551	12535	5631
552	12556	5608
553	12580	5586
554	12602	5563
555	12626	5541
556	12646	5517
557	12668	5494
558	12690	5471
559	12712	5448
560	12732	5424
561	12759	5403
562	12783	5381
563	12808	5359
564	12830	5336
565	12850	5312
566	12869	5288
567	12891	5265
568	12911	5241
569	12932	5218
570	12953	5194
571	12974	5171
572	12997	5149
573	13019	5126
574	13037	5101
575	13058	5078
576	13078	5054
577	13101	5031
578	13121	5008
579	13144	4985
580	13168	4963
581	13190	4940
582	13214	4918
583	13234	4894
584	13254	4871
585	13276	4848
586	13295	4824
587	13317	4801
588	13341	4779
589	13364	4756
590	13388	4734
591	13412	4712
592	13432	4688
593	13452	4665
594	13475	4642
595	13496	4619
596	13516	4596
597	13539	4573
598	13560	4550
599	13583	4527
600	13608	4505
601	13632	4483
602	13654	4460
603	13673	4437
604	13694	4413
605	13718	4391
606	13737	4367
607	13758	4344
608	13778	4321
609	13799	4298
610	13825	4276
611	13846	4253
612	13868	4230
613	13888	4207
614	13909	4184
615	13931	4161
616	13953	4138
617	13977	4116
618	14000	4093
619	14024	4071
620	14047	4049
621	14068	4026
622	14088	4002
623	14111	3980
624	14132	3957
625	14152	3933
626	14176	3911
627	14200	3889
628	14226	3867
629	14247	3844
630	14269	3821
631	14293	3799
632	14313	3776
633	14334	3753
634	14357	3730
635	14380	3708
636	14401	3685
637	14426	3663
638	14447	3640
639	14467	3616
640	14488	3593
641	14508	3570
642	14530	3547
643	14550	3524
644	14574	3502
645	14598	3480
646	14625	3458
647	14652	3437
648	14675	3414
649	14693	3390
650	14716	3368
651	14737	3345
652	14760	3322
653	14784	3300
654	14807	3278
655	14836	3256
656	14859	3234
657	14885	3212
658	14907	3189
659	14929	3166
660	14950	3143
661	14971	3120
662	14994	3098
663	15017	3075
664	15042	3053
665	15066	3031
666	15090	3008
667	15115	2986
668	15134	2963
669	15156	2940
670	15177	2917
671	15200	2895
672	15222	2872
673	15245	2849
674	15267	2827
675	15292	2805
676	15313	2782
677	15336	2759
678	15356	2736
679	15382	2714
680	15407	2692
681	15429	2669
682	15453	2647
683	15475	2624
684	15496	2601
685	15518	2578
686	15539	2556
687	15562	2533
688	15588	2511
689	15611	2488
690	15634	2466
691	15657	2443
692	15683	2421
693	15706	2399
694	15729	2376
695	15749	2353
696	15771	2330
697	15792	2307
698	15817	2285
699	15837	2262
700	15865	2240
701	15889	2218
702	15914	2195
703	15935	2172
704	15956	2150
705	15980	2127
706	16001	2104
707	16021	2081
708	16048	2059
709	16071	2037
710	16098	2015
711	16118	1992
712	16143	1969
713	16163	1946
714	16184	1924
715	16207	1901
716	16229	1878
717	16252	1856
718	16277	1833
719	16315	1812
720	16343	1790
721	16371	1768
722	16390	1745
723	16409	1722
724	16426	1699
725	16449	1676
726	16474	1654
727	16495	1631
728	16520	1608
729	16541	1586
730	16564	1563
731	16584	1540
732	16605	1517
733	16628	1495
734	16652	1472
735	16675	1450
736	16700	1427
737	16724	1405
738	16750	1382
739	16772	1359
740	16797	1337
741	16820	1314
742	16847	1292
743	16877	1270
744	16903	1247
745	16932	1225
746	16956	1203
747	16980	1180
748	17002	1157
749	17030	1135
750	17053	1112
751	17083	1090
752	17113	1068
753	17142	1045
754	17167	1023
755	17196	1000
756	17217	978
757	17243	955
758	17270	932
759	17301	910
760	17333	888
761	17361	865
762	17388	843
763	17411	820
764	17438	797
765	17461	775
766	17486	752
767	17508	729
768	17534	706
769	17554	683
770	17576	661
771	17598	638
772	17620	615
773	17641	592
774	17662	569
775	17685	546
776	17706	524
777	17728	501
778	17749	478
779	17769	455
780	17794	432
781	17816	410
782	17837	387
783	17857	364
784	17878	341
785	17899	318
786	17920	296
787	17943	273
788	17967	250
789	17994	227
790	18016	204
791	18038	182
792	18061	159
793	18082	136
794	18105	113
795	18124	91
796	18143	68
797	18165	45
798	18189	22
799	18216	0
