iter	Logloss
299	0.2422908676
300	0.2419979714
301	0.2417344082
302	0.2414886967
303	0.2409914381
304	0.2407306698
305	0.2403478897
306	0.2399075994
307	0.2396915076
308	0.2393409601
309	0.2390290186
310	0.2386890005
311	0.2382263253
312	0.2379715154
313	0.2376249572
314	0.2373257211
315	0.2369928381
316	0.2366456856
317	0.236447544
318	0.2360160879
319	0.2358036248
320	0.2354017378
321	0.2352156243
322	0.2349996566
323	0.2345579183
324	0.2342649767
325	0.2338233776
326	0.2336734932
327	0.2333719367
328	0.2329155874
329	0.2326700313
330	0.232547694
331	0.2322567064
332	0.2317871295
333	0.2314501592
334	0.2312636501
335	0.2310080509
336	0.2307272618
337	0.2304173922
338	0.2299944584
339	0.2296560358
340	0.2293388576
341	0.2290020922
342	0.2288041612
343	0.2284461598
344	0.2281953991
345	0.2280401137
346	0.227695499
347	0.2275112346
348	0.2270858196
349	0.2267837009
350	0.2265910902
351	0.2262753007
352	0.2260166398
353	0.2258203509
354	0.2254965049
355	0.2251329918
356	0.2249613345
357	0.2246880388
358	0.2243729789
359	0.224177238
360	0.223798505
361	0.2236080812
362	0.2232262665
363	0.2229093102
364	0.2228066863
365	0.2225112182
366	0.2221896812
367	0.2219056855
368	0.2217373359
369	0.2214253295
370	0.2210608435
371	0.2208098345
372	0.2207263052
373	0.2204609361
374	0.2202562545
375	0.2198537771
376	0.2197006264
377	0.2194242277
378	0.2191928644
379	0.2190267392
380	0.2186968536
381	0.2182865274
382	0.2180262159
383	0.2177009573
384	0.2173236082
385	0.2170338253
386	0.2167578975
387	0.2164321421
388	0.2161870853
389	0.2159630619
390	0.2157591363
391	0.2156505408
392	0.2154506708
393	0.2151022383
394	0.2147481713
395	0.2144634637
396	0.2142431584
397	0.2140798175
398	0.2137782927
399	0.2135404279
400	0.213285975
401	0.2129631276
402	0.2127897427
403	0.2125824353
404	0.212318662
405	0.2120906523
406	0.2118570038
407	0.2114950758
408	0.2112431339
409	0.2109688458
410	0.210711818
411	0.2104188814
412	0.2100482841
413	0.2098830586
414	0.2095534131
415	0.209232551
416	0.2089789341
417	0.2085985799
418	0.2082949396
419	0.2080716274
420	0.2078077889
421	0.2075961769
422	0.2073488194
423	0.2071522788
424	0.2069893466
425	0.2068268332
426	0.2065866945
427	0.2063325548
428	0.2060327038
429	0.2057996503
430	0.2055314031
431	0.2053046431
432	0.205236392
433	0.2049489012
434	0.2047014914
435	0.2042661332
436	0.2040115969
437	0.203845443
438	0.2035848003
439	0.2033297198
440	0.2030750945
441	0.2028137595
442	0.2025817355
443	0.2023256053
444	0.2021086356
445	0.20188564
446	0.2018676545
447	0.2017327598
448	0.2015441379
449	0.2014075947
450	0.2011353806
451	0.2009650712
452	0.2006985367
453	0.2004149531
454	0.2002290302
455	0.2000523649
456	0.1997657119
457	0.1995369716
458	0.1993052903
459	0.1989966189
460	0.1987578526
461	0.1986048606
462	0.1984486602
463	0.1982086296
464	0.1981591106
465	0.197865094
466	0.1976402012
467	0.1973702494
468	0.1969815207
469	0.1967852815
470	0.1965356861
471	0.1961859981
472	0.1960314319
473	0.1957799371
474	0.1955581163
475	0.1952757407
476	0.1949511698
477	0.194668193
478	0.1945122686
479	0.1944851728
480	0.1942428537
481	0.1939681042
482	0.1936854534
483	0.1935331027
484	0.1933093137
485	0.1930213559
486	0.1928379889
487	0.1926438908
488	0.1924111043
489	0.1922051459
490	0.1920536048
491	0.1918191482
492	0.1915799361
493	0.1912560793
494	0.1911599479
495	0.1909099068
496	0.1907583422
497	0.190657781
498	0.1904009619
499	0.190152947
500	0.1898039724
501	0.1895507134
502	0.1892865783
503	0.1892407877
504	0.1890297495
505	0.1889261086
506	0.1887309697
507	0.1884472405
508	0.1881812834
509	0.187965805
510	0.1877399701
511	0.1875531218
512	0.1873753464
513	0.1871580605
514	0.1868504597
515	0.1866340244
516	0.1863697997
517	0.1861344678
518	0.1858378712
519	0.1856588387
520	0.185465408
521	0.1851976907
522	0.1849179249
523	0.1847071438
524	0.1845245851
525	0.1842432759
526	0.184058146
527	0.1838898654
528	0.1836178954
529	0.1834311573
530	0.1832540613
531	0.1830642416
532	0.1829177973
533	0.1827215637
534	0.1825352191
535	0.1824146241
536	0.1821733691
537	0.181952933
538	0.181733917
539	0.1815102792
540	0.1812987469
541	0.181113145
542	0.1808905757
543	0.1806475543
544	0.180581925
545	0.1801981647
546	0.1800753132
547	0.1798309399
548	0.179700933
549	0.1795402561
550	0.1792831477
551	0.1790527749
552	0.1789337428
553	0.1785977932
554	0.17846485
555	0.178224791
556	0.1780199925
557	0.1778086076
558	0.1775783741
559	0.1773131901
560	0.1771912081
561	0.1769495563
562	0.1767678991
563	0.1766252403
564	0.1763144824
565	0.1761700915
566	0.1760760043
567	0.1758004535
568	0.1756364079
569	0.1754436893
570	0.1752501955
571	0.1750724328
572	0.174862687
573	0.1746353857
574	0.1744810247
575	0.1743314076
576	0.1741828519
577	0.1739350108
578	0.1738339668
579	0.1736892233
580	0.1734641383
581	0.1732563534
582	0.1731024676
583	0.1729787329
584	0.1727809388
585	0.1726224252
586	0.1724974394
587	0.1722617522
588	0.1720969948
589	0.1718787269
590	0.1717130259
591	0.1715450309
592	0.1713368485
593	0.1711617172
594	0.1709650086
595	0.1707140608
596	0.1705170563
597	0.1702741316
598	0.1701501043
599	0.1699429311
600	0.1698041841
601	0.1695882206
602	0.1693683255
603	0.1691888437
604	0.1690334936
605	0.1688364352
606	0.1686504617
607	0.1684439644
608	0.1683541262
609	0.1683074886
610	0.1680742535
611	0.1679547356
612	0.1678023362
613	0.1676999827
614	0.1675396776
615	0.167360313
616	0.1671448188
617	0.1669207802
618	0.1667300499
619	0.1665570454
620	0.1663927114
621	0.1662398625
622	0.1660685815
623	0.1659277586
624	0.1657942301
625	0.1656109556
626	0.165420994
627	0.1651521765
628	0.1649821339
629	0.1648151507
630	0.1646226896
631	0.1644124813
632	0.1642854617
633	0.1641241123
634	0.1639644973
635	0.1637588303
636	0.1636146899
637	0.1634585137
638	0.1632987884
639	0.1631127074
640	0.1629141467
641	0.1628232379
642	0.1625541393
643	0.1623918889
644	0.1621813499
645	0.1620303449
646	0.161829922
647	0.1615202462
648	0.1612632379
649	0.1611056409
650	0.1609154425
651	0.1607627847
652	0.1605426616
653	0.1603483202
654	0.1601884194
655	0.1599564597
656	0.1597760373
657	0.1595224121
658	0.159368079
659	0.1592348758
660	0.1590860185
661	0.1589126668
662	0.1587262704
663	0.1584744132
664	0.1582432635
665	0.1580758721
666	0.1579309248
667	0.1577181918
668	0.1575623772
669	0.1573866526
670	0.1572651503
671	0.1570777603
672	0.1569332228
673	0.1567680235
674	0.1566270622
675	0.1564225902
676	0.1562670703
677	0.1560336527
678	0.1559415934
679	0.1556817221
680	0.1554493092
681	0.1552805247
682	0.1551088974
683	0.1549499912
684	0.154873935
685	0.1547776336
686	0.154534496
687	0.1543334114
688	0.1540986485
689	0.1539047963
690	0.1538143089
691	0.1536935688
692	0.1534512742
693	0.153229989
694	0.1530742494
695	0.1529878733
696	0.1528803393
697	0.1526766745
698	0.1525301859
699	0.1524233608
700	0.152284197
701	0.1520707813
702	0.1518585864
703	0.1516867896
704	0.1515208328
705	0.1513191473
706	0.1510737573
707	0.1509422868
708	0.1506969065
709	0.1505573061
710	0.1503442831
711	0.150220203
712	0.1500368663
713	0.1498737324
714	0.1496978553
715	0.1495441923
716	0.1494025019
717	0.1492300924
718	0.1491059015
719	0.1489550895
720	0.1487631983
721	0.1485646919
722	0.1484242144
723	0.1482248434
724	0.1481326182
725	0.1479515383
726	0.1478285775
727	0.1476464488
728	0.1474821051
729	0.1473249993
730	0.147126754
731	0.147055913
732	0.1468976577
733	0.1466892881
734	0.1465430171
735	0.1463631217
736	0.1462004979
737	0.1460107758
738	0.1458238684
739	0.1455864557
740	0.1454922362
741	0.1453907364
742	0.1452221643
743	0.1451071397
744	0.1448813624
745	0.144689562
746	0.1445441374
747	0.1444208533
748	0.1442679485
749	0.1440955474
750	0.143934618
751	0.143730337
752	0.1434909088
753	0.1433255434
754	0.143249989
755	0.1430793824
756	0.1429479287
757	0.1427485268
758	0.1425968867
759	0.1424185406
760	0.1422348357
761	0.1420807026
762	0.1419270011
763	0.1417769706
764	0.1415634606
765	0.141383053
766	0.1411873271
767	0.1409625971
768	0.140731398
769	0.1406059734
770	0.1405158221
771	0.1404473242
772	0.1403592823
773	0.140214174
774	0.1401000091
775	0.1399330493
776	0.1397700514
777	0.139572692
778	0.1393819145
779	0.1392924552
780	0.1391489953
781	0.1389788999
782	0.1388052696
783	0.138734249
784	0.138585512
785	0.1384163192
786	0.1383109335
787	0.1381589918
788	0.1380170539
789	0.1377927883
790	0.1377098529
791	0.1375590234
792	0.1374569896
793	0.1373047174
794	0.1372058304
795	0.1370768149
796	0.1369402369
797	0.1367940861
798	0.1366627801
799	0.1364563682
